library,version,container
mysqlclient,1.3.10,<pip>
nb_anacondacloud,1.2.0,py27_0
nb_conda,2.0.0,py27_0
nb_conda_kernels,2.0.0,py27_0
nbconvert,4.2.0,py27_0
nbformat,4.2.0,py27_0
nbpresent,3.0.2,py27_0
networkx,1.11,py27_0
nltk,3.2.2,py27_0
nose,1.3.7,py27_1
nose-ignore-docstring,0.2,<pip>
nose-parameterized,0.6.0,<pip>
notebook,5.0.0,py27_0
numba,0.34.0,np112py27_0
numexpr,2.6.2,np112py27_0
numpy,1.12.1,py27_0
numpy,1.13.1,<pip>
numpydoc,0.6.0,py27_0
oauthlib,2.0.2,<pip>
odo,0.5.0,py27_1
openpyxl,2.4.1,py27_0
openssl,1.0.2k,1
oracle-instantclient,11.2.0.4.0,0
ordereddict,1.1,<pip>
pandas,0.19.2,<pip>
pandas,0.20.3,<pip>
pandas,0.20.3,py27_0
pandasql,0.7.3,<pip>
partd,0.3.7,py27_0
patchelf,0.9,0
path.py,10.0,py27_0
pathlib2,2.2.0,py27_0
patsy,0.4.1,py27_0
pbr,3.0.1,<pip>
pcre,8.39,1
pep8,1.7.0,py27_0
pexpect,4.2.1,py27_0
pickleshare,0.7.4,py27_0
pillow,4.0.0,py27_0
pip,9.0.1,<pip>
pip,9.0.1,py27_1
pixman,0.34.0,0
pkginfo,1.3.2,py27_0
plotly,2.0.8,<pip>
ply,3.9,py27_0
portend,1.8,<pip>
prettytable,0.7.2,<pip>
prompt_toolkit,1.0.9,py27_0
protobuf,3.3.0,<pip>
psutil,4.4.2,<pip>
psutil,5.0.1,py27_0
ptyprocess,0.5.1,py27_0
py,1.4.32,py27_0
py-xgboost,0.60,py27np112h0aae3cd_0
pyaml,16.12.2,<pip>
pyasn1,0.1.9,py27_0
pycairo,1.10.0,py27_0
pycosat,0.6.1,py27_1
pycparser,2.17,py27_0
pycrypto,2.6.1,py27_4
pycurl,7.43.0,py27_2
pydot,1.2.3,<pip>
pydot2,1.0.33,<pip>
pydotplus,2.0.2,<pip>
pyflakes,1.5.0,py27_0
pygments,2.1.3,py27_0
pyhdb,0.3.3,<pip>
