library,Stage_Version,Stage_Containter,Prod_Version,Prod_Containter,matches
python-dateutil,2.6.0,<pip>,2.6.0,py27_0,yes
python-dateutil,2.6.0,<pip>,2.6.1,<pip>,no
python-dateutil,2.6.0,py27_0,2.6.0,<pip>,yes
python-dateutil,2.6.0,py27_0,2.6.0,py27_0,yes
python-dateutil,2.6.0,py27_0,2.6.1,<pip>,no
python-dateutil,2.6.1,<pip>,2.6.0,<pip>,no
python-dateutil,2.6.1,<pip>,2.6.0,py27_0,no
python-dateutil,2.6.1,<pip>,2.6.1,<pip>,yes
python-editor,1.0.3,<pip>,1.0.3,<pip>,yes
python-nvd3,0.14.2,<pip>,0.14.2,<pip>,yes
python-slugify,1.1.4,<pip>,1.1.4,<pip>,yes
pytz,2016.10,<pip>,2016.10,<pip>,yes
pytz,2016.10,<pip>,2016.10,py27_0,yes
pytz,2016.10,<pip>,2017.2,py27_0,no
pytz,2016.10,py27_0,2016.10,<pip>,yes
pytz,2016.10,py27_0,2016.10,py27_0,yes
pytz,2016.10,py27_0,2017.2,py27_0,no
pytz,2017.2,<pip>,2016.10,<pip>,no
pytz,2017.2,<pip>,2016.10,py27_0,no
pytz,2017.2,<pip>,2017.2,py27_0,yes
pywavelets,0.5.2,np112py27_0,0,,no
pyyaml,3.12,py27_0,3.12,py27_0,yes
pyyaml,3.12,py27_0,3.12,py27_1,yes
pyzmq,16.0.2,py27_0,16.0.2,py27_0,yes
pyzmq,16.0.2,py27_0,16.0.2,py27_1,yes
qt,5.6.2,3,4.8.7,4,no
qt,5.6.2,3,5.6.2,3,yes
qt5,5.5.0,0,5.5.0,0,yes
qtawesome,0.4.3,py27_0,0.4.3,py27_0,yes
qtawesome,0.4.3,py27_0,0.4.4,py27_0,no
qtconsole,4.2.1,py27_1,4.2.1,py27_1,yes
qtconsole,4.2.1,py27_1,4.3.0,py27_0,no
qtpy,1.2.1,py27_0,1.2.1,py27_0,yes
readline,6.2,2,6.2,0,yes
readline,6.2,2,6.2,2,yes
redis,3.2.0,0,2.10.5,<pip>,no
redis,3.2.0,0,3.2.0,0,yes
redis-py,2.10.5,py27_0,2.10.5,py27_0,yes
requests,2.12.4,py27_0,2.12.4,py27_0,yes
requests,2.12.4,py27_0,2.13.0,py27_0,no
requests,2.12.4,py27_0,2.14.2,<pip>,no
requests,2.12.4,py27_0,2.9.1,<pip>,no
requests,2.14.2,<pip>,2.12.4,py27_0,no
requests,2.14.2,<pip>,2.13.0,py27_0,no
requests,2.14.2,<pip>,2.14.2,<pip>,yes
requests,2.14.2,<pip>,2.9.1,<pip>,no
requests,2.9.1,<pip>,2.12.4,py27_0,no
requests,2.9.1,<pip>,2.13.0,py27_0,no
requests,2.9.1,<pip>,2.14.2,<pip>,no
requests,2.9.1,<pip>,2.9.1,<pip>,yes
requests-kerberos,0.11.0,<pip>,0.11.0,<pip>,yes
requests-kerberos,0.11.0,<pip>,0.8.0,py27_0,no
requests-oauthlib,0.8.0,<pip>,0.8.0,<pip>,yes
requests-toolbelt,0.8.0,<pip>,0.8.0,<pip>,yes
rope,0.9.4,py27_1,0.10.5,py27_0,no
rope,0.9.4,py27_1,0.9.4,py27_1,yes
rsa,3.1.2,<pip>,3.1.2,<pip>,yes
ruamel_yaml,0.11.14,py27_1,0.11.14,py27_0,yes
ruamel_yaml,0.11.14,py27_1,0.11.14,py27_1,yes
s3transfer,0.1.10,<pip>,0.1.10,<pip>,yes
sasl,0.2.1,<pip>,0.1.3,py27_0,no
sasl,0.2.1,<pip>,0.2.1,<pip>,yes
scandir,1.4,py27_0,1.4,py27_0,yes
scandir,1.4,py27_0,1.5,py27_1,no
scikit-image,0.13.0,np112py27_0,0.11.3,np19py27_0,no
scikit-image,0.13.0,np112py27_0,0.12.3,np111py27_1,no
scikit-image,0.13.0,np112py27_0,0.13.0,<pip>,yes
scikit-learn,0.19.0,np112py27_0,0.16.1,np19py27_0,no
scikit-learn,0.19.0,np112py27_0,0.18.1,np111py27_1,no
scikit-learn,0.19.0,np112py27_0,0.18.2,<pip>,no
scipy,0.19.0,<pip>,0.16.0,<pip>,no
scipy,0.19.0,<pip>,0.17.1,np19py27_1,no
scipy,0.19.0,<pip>,0.18.1,np111py27_1,no
scipy,0.19.0,<pip>,0.19.0,<pip>,yes
scipy,0.19.0,<pip>,0.19.1,<pip>,no
scipy,0.19.1,np112py27_0,0.16.0,<pip>,no
scipy,0.19.1,np112py27_0,0.17.1,np19py27_1,no
scipy,0.19.1,np112py27_0,0.18.1,np111py27_1,no
scipy,0.19.1,np112py27_0,0.19.0,<pip>,no
scipy,0.19.1,np112py27_0,0.19.1,<pip>,yes
seaborn,0.7.1,py27_0,0.7.1,<pip>,yes
seaborn,0.7.1,py27_0,0.7.1,py27_0,yes
setproctitle,1.1.10,<pip>,1.1.10,<pip>,yes
setuptools,27.2.0,py27_0,27.2.0,py27_0,yes
setuptools,27.2.0,py27_0,33.1.1,py27_0,no
simplegeneric,0.8.1,py27_1,0.8.1,py27_0,yes
simplegeneric,0.8.1,py27_1,0.8.1,py27_1,yes
singledispatch,3.4.0.3,py27_0,3.4.0.3,py27_0,yes
sip,4.18,py27_0,4.18,py27_0,yes
sip,4.18,py27_0,4.18,py27_1,yes
six,1.10.0,py27_0,1.10.0,py27_0,yes
six,1.10.0,py27_0,1.10.0,py27_1,yes
smart-open,1.4.0,<pip>,1.4.0,<pip>,yes
smmap2,2.0.1,<pip>,2.0.1,<pip>,yes
snakebite,2.11.0,<pip>,2.11.0,py27_0,yes
snowballstemmer,1.2.1,py27_0,1.2.1,py27_0,yes
sockjs-tornado,1.0.3,py27_0,1.0.3,py27_0,yes
sphinx,1.5.1,py27_0,1.5.1,py27_0,yes
sphinx,1.5.1,py27_0,1.5.5,py27_0,no
sphinx-argparse,0.2.0,<pip>,0.2.0,<pip>,yes
sphinx-rtd-theme,0.2.4,<pip>,0,,no
spyder,3.1.2,py27_0,2.3.8,py27_1,no
spyder,3.1.2,py27_0,3.1.2,py27_0,yes
spyder,3.1.2,py27_0,3.1.4,<pip>,no
sqlalchemy,1.1.5,py27_0,1.1.5,py27_0,yes
sqlalchemy-hana,0.2.2,<pip>,0.2.2,<pip>,yes
sqlite,3.13.0,0,3.13.0,0,yes
sqlite,3.13.0,0,3.13.0,1,yes
sqlparse,0.2.3,<pip>,0.2.3,<pip>,yes
ssl_match_hostname,3.4.0.2,py27_1,3.4.0.2,py27_1,yes
ssl_match_hostname,3.4.0.2,py27_1,3.5.0.1,py27_1,no
statsmodels,0.8.0,np112py27_0,0.6.1,np111py27_1,no
statsmodels,0.8.0,np112py27_0,0.6.1,np19py27_0,no
statsmodels,0.8.0,np112py27_0,0.8.0,<pip>,yes
subprocess32,3.2.7,py27_0,3.2.7,py27_0,yes
sympy,1.0,py27_0,1.0,<pip>,yes
sympy,1.0,py27_0,1.0,py27_0,yes
tabulate,0.7.7,<pip>,0.7.5,<pip>,no
tabulate,0.7.7,<pip>,0.7.7,<pip>,yes
tempora,1.6.1,<pip>,1.6.1,<pip>,yes
teradata,15.10.0.21,<pip>,15.10.0.20,py27_0,no
terminado,0.6,py27_0,0.6,py27_0,yes
thrift,0.9.3,<pip>,0.10.0,py27_0,no
thrift,0.9.3,<pip>,0.9.3,<pip>,yes
thrift-sasl,0.2.1,<pip>,0.2.1,<pip>,yes
thriftpy,0.3.9,<pip>,0.3.9,<pip>,yes
thriftpy,0.3.9,<pip>,0.3.9,py27_0,yes
tk,8.5.18,0,8.5.18,0,yes
tk,8.5.18,0,8.5.19,1,no
toolz,0.8.2,py27_0,0.8.2,py27_0,yes
toree,0.1.0,<pip>,0.1.0.dev8,<pip>,no
tornado,4.3,<pip>,4.3,<pip>,yes
tornado,4.3,<pip>,4.4.2,py27_0,no
tornado,4.3,<pip>,4.4.3,py27_0,no
tornado,4.3,<pip>,4.5.1,<pip>,no
tornado,4.4.2,py27_0,4.3,<pip>,no
tornado,4.4.2,py27_0,4.4.2,py27_0,yes
tornado,4.4.2,py27_0,4.4.3,py27_0,no
tornado,4.4.2,py27_0,4.5.1,<pip>,no
tornado,4.5.1,<pip>,4.3,<pip>,no
tornado,4.5.1,<pip>,4.4.2,py27_0,no
tornado,4.5.1,<pip>,4.4.3,py27_0,no
tornado,4.5.1,<pip>,4.5.1,<pip>,yes
traitlets,4.3.1,py27_0,4.3.1,py27_0,yes
traitlets,4.3.1,py27_0,4.3.2,<pip>,no
traitlets,4.3.1,py27_0,4.3.2,py27_0,no
unicodecsv,0.14.1,py27_0,0.14.1,py27_0,yes
unixodbc,2.3.4,0,2.3.4,0,yes
untangle,1.1.0,<pip>,1.1.0,<pip>,yes
urllib3,1.20,py27_1,0,,no
vaderSentiment,2.5,<pip>,2.5,<pip>,yes
vine,1.1.3,<pip>,1.1.3,<pip>,yes
wcwidth,0.1.7,py27_0,0.1.7,py27_0,yes
werkzeug,0.11.15,py27_0,0.11.10,py27_0,no
werkzeug,0.11.15,py27_0,0.11.15,py27_0,yes
wheel,0.29.0,py27_0,0.29.0,py27_0,yes
widgetsnbextension,1.2.6,py27_0,1.2.6,py27_0,yes
widgetsnbextension,1.2.6,py27_0,2.0.0,py27_0,no
wrapt,1.10.8,py27_0,1.10.10,<pip>,no
wrapt,1.10.8,py27_0,1.10.8,py27_0,yes
xlrd,1.0.0,py27_0,1.0.0,py27_0,yes
xlrd,1.0.0,py27_0,1.0.0,py27_1,yes
xlsxwriter,0.9.6,py27_0,0.9.6,py27_0,yes
xlwt,1.2.0,py27_0,1.2.0,py27_0,yes
xmltodict,0.10.2,<pip>,0.10.2,<pip>,yes
xz,5.2.2,1,5.2.2,0,yes
xz,5.2.2,1,5.2.2,1,yes
yaml,0.1.6,0,0.1.6,0,yes
yellowbrick,0.4,<pip>,0.4,<pip>,yes
zeromq,4.1.5,0,4.1.5,0,yes
zeromq,4.1.5,0,4.2.1,1,no
zlib,1.2.8,3,1.2.11,0,no
zlib,1.2.8,3,1.2.8,3,yes
zope.deprecation,4.2.0,<pip>,4.2.0,<pip>,yes
Bottleneck,0,,1.2.1,<pip>,no
Pillow,0,,4.1.1,<pip>,no
PyWavelets,0,,0.5.2,<pip>,no
SQLAlchemy,0,,1.1.9,<pip>,no
Sphinx,0,,1.5.6,<pip>,no
TableauSDK,0,,9300.0.0.0,<pip>,no
Werkzeug,0,,0.12.2,<pip>,no
abstract-rendering,0,,0.5.1,np19py27_0,no
apache-maven,0,,3.3.3,0,no
asn1crypto,0,,0.22.0,<pip>,no
backports-abc,0,,0.5,<pip>,no
backports.shutil_get_terminal_size,0,,1.0.0,py27_1,no
backports.weakref,0,,1.0rc1,<pip>,no
bcolz,0,,1.0.0,py27_0,no
blas,0,,1.1,openblas,no
blaze-core,0,,0.9.0,py27_0,no
bleach,0,,1.5.0,<pip>,no
bleach,0,,1.5.0,py27_0,no
boost,0,,1.61.0,py27_0,no
bzip2,0,,1.0.6,1,no
ca-certificates,0,,2017.1.23,0,no
cloog,0,,0.18.0,0,no
cmake,0,,3.7.1,4,no
colorlover,0,,0.2.1,<pip>,no
conda-verify,0,,2.0.0,py27_0,no
cufflinks,0,,0.8.2,<pip>,no
distributed,0,,1.16.3,<pip>,no
dolfin,0,,1.6.0,np19py27_6,no
drillpy,0,,0.2.0,<pip>,no
eigen,0,,3.3.1,0,no
eigen3,0,,3.2.1,1,no
fenics,0,,2016.1.0,py27_2,no
ffc,0,,1.6.0,np19py27_4,no
fiat,0,,1.6.0,np19py27_1,no
freeglut,0,,3.0.0,4,no
freetds,0,,1.00.9,0,no
gcc,0,,4.8.5,7,no
gettext,0,,0.19.7,1,no
gevent-websocket,0,,0.10.1,py27_0,no
ghost.py,0,,0.2.3,py27_0,no
gmp,0,,6.1.2,0,no
gsl,0,,2.2.1,1,no
hdfs3,0,,0.1.3,py27_0,no
hive_utils,0,,0.0.1,py27_0,no
hiveplot,0,,0.1.7.4,<pip>,no
html5lib,0,,0.999,<pip>,no
html5lib,0,,0.999,py27_0,no
html5lib,0,,0.9999999,<pip>,no
ibis-framework,0,,0.7.1,<pip>,no
ibis-framework,0,,0.8.1,py27_0,no
instant,0,,1.6.0,py27_3,no
ipython-notebook,0,,4.0.4,py27_0,no
ipython-qtconsole,0,,4.0.1,py27_0,no
isl,0,,0.12.2,0,no
jpype1,0,,0.6.0,py27_0,no
jpypex,0,,0.5.4.2,py27_0,no
jsoncpp,0,,0.10.6,1,no
krb5,0,,1.14.2,0,no
libarchive,0,,3.2.1,2,no
libgsasl,0,,1.8.0,0,no
libhdfs3,0,,2.2.31,1,no
libntlm,0,,1.4,0,no
libprotobuf,0,,3.2.0,0,no
libuuid,0,,1.0.3,1,no
libuv,0,,1.11.0,0,no
llvm,0,,3.3,0,no
llvmpy,0,,0.12.7,py27_0,no
mpc,0,,1.0.3,4,no
mpfr,0,,3.1.5,0,no
mpi4py,0,,2.0.0,py27_2,no
mpich,0,,3.2,4,no
mpich2,0,,1.4.1p1,0,no
msgpack-python,0,,0.4.8,<pip>,no
mysql-connector-python,0,,2.2.2,py27_0,no
navigator-updater,0,,0.1.0,<pip>,no
nb_config_manager,0,,0.1.3,py27_0,no
nbbrowserpdf,0,,0.2.2,py27_0,no
ncurses,0,,5.9,10,no
olefile,0,,0.44,<pip>,no
openblas,0,,0.2.19,1,no
packaging,0,,16.8,<pip>,no
pandas-datareader,0,,0.2.1,py27_0,no
pandoc,0,,1.19.2,0,no
pandocfilters,0,,1.4.1,<pip>,no
pandocfilters,0,,1.4.1,py27_0,no
pango,0,,1.39.0,0,no
petsc,0,,3.6.2,py27_3,no
petsc4py,0,,3.6.0,np19py27_4,no
pkg-config,0,,0.29.1,1,no
py2cairo,0,,1.10.0,py27_2,no
py4j,0,,0.10.4,py27_0,no
pyOpenSSL,0,,17.0.0,<pip>,no
pyhive,0,,0.2.1,py27_0,no
pymongo,0,,3.2.2,py27_0,no
pypdf2,0,,1.26.0,py27_1,no
pypyodbc,0,,1.3.3,<pip>,no
python-crontab,0,,1.7.2,py27_0,no
python-hdfs,0,,2.0.5,py27_0,no
python-pptx,0,,0.6.5,py27_1,no
r,0,,3.3.1,r3.3.1_0,no
r-base,0,,3.3.1,1,no
r-boot,0,,1.3_18,r3.3.1_0,no
r-class,0,,7.3_14,r3.3.1_0,no
r-cluster,0,,2.0.4,r3.3.1_0,no
r-codetools,0,,0.2_14,r3.3.1_0,no
r-foreign,0,,0.8_66,r3.3.1_0,no
r-kernsmooth,0,,2.23_15,r3.3.1_0,no
r-lattice,0,,0.20_33,r3.3.1_0,no
r-mass,0,,7.3_45,r3.3.1_0,no
r-matrix,0,,1.2_6,r3.3.1_0,no
r-mgcv,0,,1.8_12,r3.3.1_0,no
r-nlme,0,,3.1_128,r3.3.1_0,no
r-nnet,0,,7.3_12,r3.3.1_0,no
r-recommended,0,,3.3.1,r3.3.1_0,no
r-rpart,0,,4.1_10,r3.3.1_0,no
r-spatial,0,,7.3_11,r3.3.1_0,no
r-survival,0,,2.39_4,r3.3.1_0,no
requests-file,0,,1.4.1,py27_0,no
rpy2,0,,2.8.1,py27r3.3.1_1,no
scikit-fuzzy,0,,0.2,<pip>,no
slepc,0,,3.6.2,py27_2,no
sortedcollections,0,,0.5.3,<pip>,no
sortedcontainers,0,,1.5.7,<pip>,no
sphinx_rtd_theme,0,,0.2.4,py27_0,no
spyder-app,0,,2.3.8,py27_0,no
swig,0,,3.0.7,0,no
system,0,,5.8,2,no
tblib,0,,1.3.2,<pip>,no
testpath,0,,0.3,<pip>,no
testpath,0,,0.3,py27_0,no
thrift_sasl,0,,0.1.0,py27_0,no
ufl,0,,1.6.0,py27_1,no
util-linux,0,,2.21,0,no
virtualenv,0,,15.1.0,py27_0,no
vtk,0,,7.0.0,py27_1,no
webencodings,0,,0.5,py27_0,no
zict,0,,0.1.2,<pip>,no
